"Label","Xvalue","Yvalue"
"MET",-50.3247,13.2019004822
"STREP",-28.5516,8.93630313873
"D74",43.4531,6.52723789215
"D75",35.0714,5.36934232712
"D76",30.1256,4.31967163086
"D77",24.0556,3.61334037781
"D78",45.379,6.60266923904
"D79",39.1668,3.97968316078
"D80",21.9631,2.37862563133
"D81",71.942,8.44020652771
"D82",39.424,6.93009662628
"D83",76.6917,10.3415622711
"D84",58.608,9.29257011414
"D85",31.4993,4.15194606781
"D86",11.1682,1.67553782463
"D87",-22.0965,2.99479866028
"INH",7.52101,1.31460285187
"MET",22.0659,3.39704060555
"STREP",-25.2704,4.44785451889
"D174 ",-29.8011,7.0763926506
"D175 ",11.3948,1.88349306583
"D186 ",12.554,1.31817221642
"D187 ",-6.22886,1.37751698494
"D198 ",16.8024,2.96245741844
"D199 ",-34.5704,8.60017967224
"D200 ",64.4498,14.2442922592
"D201 ",7.40011,1.4968495369
"D214 ",-1.33577,0.798543035984
"D215 ",-12.8382,2.48772311211
"D88 ",-9.41516,1.52668964863
"INH ",-5.1571,0.950683772564
"MET ",-34.6354,8.71108818054
"STREP ",-34.0707,7.83199834824
"D268",6.12543,1.22412455082
"D269",61.5043,5.99169158936
"D270",60.9607,5.30898618698
"D271",44.2399,3.26807522774
"D272",8.04877,1.23386573792
"D273",24.7896,1.98998498917
"D274",36.9713,3.37608528137
"D275",26.4252,3.14120149612
"D276",160.852,8.0492773056
"D277",95.2365,10.466337204
"D278",15.3296,2.39646935463
"D279",57.998,6.1192855835
"D280",104.934,7.94918823242
"D281",108.233,6.82497215271
"INH",15.8607,1.21931111813
"MET",-2.01601,0.798595368862
"STREP",-45.9783,8.10678195953
"D347",55.5269,9.40619087219
"D348",18.0304,2.48643159866
"D349",63.5118,7.52318668365
"D350",54.9682,9.05466079712
"D351",79.2539,7.73247003555
"D352",65.8042,8.0528459549
"D353",64.9831,12.5379571915
"D354",79.616,18.7340812683
"D355",50.6348,13.7494211197
"D356",17.4786,2.03945970535
"D357",104.962,18.7340812683
"D358",76.0251,9.87998199463
"D359",-11.3835,2.11272144318
"INH",65.3336,14.1415596008
"MET",-17.0819,4.90562725067
"STREP",-18.2192,4.36665153503
"D361",9.23362,1.45501577854
"D362",3.76089,0.868513226509
"D363",10.0924,1.4968495369
"D364",-0.0622516,0.665901899338
"D365",-36.6736,5.9053850174
"D366",11.7521,1.6146825552
"D367",25.5423,3.9118168354
"D368",45.3625,6.13330793381
"D369",22.4851,3.37608528137
"D370",21.0199,3.15052938461
"D371",21.7321,3.28003549576
"D372",-43.9826,6.99807596207
"INH",50.7063,4.57062864304
"MET",-24.928,3.67364931107
"STREP",-29.0653,3.40868663788
"D373",17.65,1.51672613621
"D374",24.8396,2.34519100189
"D375",31.8619,3.31754946709
"D376",35.2468,3.1860806942
"D377",-25.1342,3.32874584198
"D378",44.0171,4.94268941879
"D379",38.1406,3.78566002846
"D380",58.4746,6.38268756866
"D381",61.1456,8.17754650116
"D382",36.9943,2.15735197067
"D383",53.3566,5.16108179092
"D384",65.0316,6.1192855835
"INH",10.3921,1.18241691589
"MET",-44.4123,6.04848194122
"STREP",-42.3772,5.24270057678
"D385",-8.78439,1.67404699326
"D386",-1.93494,0.769497334957
"D387",-27.9569,5.10489559174
"D388",-29.5667,6.88889408112
"D389",-50.0713,11.7348680496
"D390",-39.1033,7.9162569046
"D391",-23.7863,2.4290099144
"D392",-30.8982,4.86985969543
"D393",-19.1777,2.17321944237
"D394",-21.442,2.71837949753
"D395",-58.7475,13.0427207947
"D396",-18.0486,2.28152990341
"INH",-21.111,2.98123168945
"MET",2.78395,0.846825659275
"STREP",-40.3479,8.93448734283
"D397",24.3486,2.71194314957
"D398",-13.157,1.95142018795
"D399",-1.45132,0.75226765871
"D400",-4.301,0.899978637695
"D401",0.875537,0.721785366535
"D402",-6.00798,1.12358140945
"D403",10.8376,1.64791405201
"D404",4.60235,0.94622451067
"D405",7.3211,1.18859601021
"D406",-1.26289,0.742292225361
"D407",-4.85753,1.0144559145
"D408",-19.6434,2.97737503052
"D409",-8.52421,1.29840433598
"D410",-2.76665,0.849341630936
"INH",41.5463,6.15827655792
"MET",-27.3776,4.14228868484
"STREP",-39.5327,6.1192855835
"D411",28.3922,3.78566002846
"D412",26.7709,4.05258989334
"D413",-6.67918,1.37763655186
"D414",0.569761,0.702939450741
"D415",32.3165,5.03777837753
"D416",50.2176,5.90828800201
"D417",0.535816,0.688921093941
"D418",-9.96885,1.30803155899
"D419",5.57459,0.984995722771
"D420",-16.2596,2.28579568863
"D421",-8.21552,1.03464484215
"D422",-23.4602,4.87169599533
"D423",-50.2548,11.9821872711
"D424",-24.6907,1.91212034225
"INH",94.1396,6.04832172394
"MET",30.8245,3.89801073074
"STREP",-27.5483,7.37192392349
"D425",-41.3138,7.99876308441
"D426",-7.42978,1.1956589222
"D427",-28.7713,4.9882774353
"D428",-39.1512,7.59615516663
"D429",127.669,14.063659668
"D430",-28.8707,4.37158584595
"D431",-12.9546,2.3842291832
"D432",4.62186,0.940161347389
"D433",-24.0721,3.53989267349
"D434",-23.1467,3.67364931107
"D435",34.5166,4.5248503685
"D436",-21.5324,3.82208681107
"INH",78.1226,9.40619087219
"MET",-8.86331,1.57555031776
"STREP",-36.0295,6.99807596207
"D14",26.9715,4.475522995
"D15",35.1566,5.41062259674
"D16",34.3274,5.91759443283
"D17",46.7857,8.11130428314
"D18",52.8916,9.05466079712
"D19",51.5176,8.9206571579
"D20",60.5011,10.3252677917
"D21",49.4652,8.48860549927
"D22",62.5344,10.3813266754
"D23",29.6116,5.23387145996
"D24",-7.80247,1.37751698494
"D25",69.5667,11.6468572617
"D26",97.8153,14.7041883469
"D27",149.994,14.6842622757
"MET",-46.3606,7.72018623352
"RIF",-34.5881,5.77540683746
"STREP",-15.6688,2.28389167786
"D64",47.7906,9.44986915588
"D65",24.4829,5.76641750336
"D66",28.3464,6.13053703308
"D67",27.6344,5.94814729691
"D68",35.4427,8.48860549927
"D69",53.8262,9.79852676392
"D70",35.5136,6.74880075455
"D71",16.606,2.90213060379
"D72",37.698,6.90129375458
"D73",8.77942,1.4126085043
"MET",-34.8555,8.73403453827
"RIF",-37.762,9.44986915588
"STREP",-10.9543,2.68320512772
"D202",27.8664,4.94268941879
"D203",25.6845,5.50688838959
"D204",-2.06872,0.849341630936
"D205",14.9834,3.14069581032
"D206",-3.03728,0.857453644276
"D207",10.0991,1.44172596931
"D208",-1.39527,0.77764326334
"D209",-0.301025,0.683660447598
"D210",-0.855049,0.72205889225
"D211",-47.9165,6.01666021347
"D212",5.21163,1.23604059219
