"drugName","Percchange_Area","pvalue_Area","Percchange_IntegInt","pvalue_IntegInt"
"D327",13.1545,0.153443,18.068,0.0582617
"D328",58.9,0.000626743,69.5577,0.000301558
"D329",75.0131,2.83E-08,80.3906,2.78E-08
"D330",-19.0158,0.00231881,-20.1625,0.000949835
"D331",-8.09443,0.232641,-4.07413,0.54771
"D332",43.609,0.000154123,53.186,2.04E-05
"D333",44.014,0.000141896,54.5193,5.34E-05
"INH",192.325,2.46E-06,191.84,2.47E-06
"MET",-52.5966,7.97E-08,-50.3247,1.70E-07
"STREP",-16.8243,0.00733862,-28.5516,4.00E-05
"D74",43.5636,0.000819488,43.4531,0.000854758
"D75",33.2813,0.0052848,35.0714,0.00335452
"D76",29.1163,0.012572,30.1256,0.0118189
"D77",25.3657,0.0228346,24.0556,0.0271882
"D78",42.6526,0.000927227,45.379,0.000787225
"D79",35.1773,0.0289128,39.1668,0.0175771
"D80",19.0645,0.153292,21.9631,0.119046
"D81",69.5296,0.000117107,71.942,7.52E-05
"D82",37.2403,0.000908659,39.424,0.0005106
"D83",73.7057,1.21E-05,76.6917,7.23E-06
"D84",53.8151,5.20E-05,58.608,2.58E-05
"D85",27.9004,0.0321714,31.4993,0.0141031
"D86",8.20462,0.402804,11.1682,0.2653
"D87",-23.083,0.0471154,-22.0965,0.0568758
"INH",5.32504,0.565411,7.52101,0.427752
"MET",21.6314,0.0354261,22.0659,0.034825
"STREP",-20.3425,0.0314887,-25.2704,0.0100993
"D174 ",-27.8656,0.0014432,-29.8011,0.000419196
"D175 ",11.7686,0.204081,11.3948,0.211141
"D186 ",11.7384,0.453384,12.554,0.425157
"D187 ",-6.65532,0.389017,-6.22886,0.389922
"D198 ",17.5444,0.0575146,16.8024,0.0599864
"D199 ",-34.0273,0.000127713,-34.5704,6.04E-05
"D200 ",71.0296,2.15E-08,64.4498,4.17E-08
"D201 ",5.72829,0.466612,7.40011,0.334516
"D214 ",-2.24644,0.74626,-1.33577,0.839106
"D215 ",-15.0643,0.0766732,-12.8382,0.103525
"D88 ",-9.3908,0.333047,-9.41516,0.319056
"INH ",-5.2109,0.678906,-5.1571,0.674285
"MET ",-33.8235,0.000122288,-34.6354,5.34E-05
"STREP ",-29.0228,0.00143938,-34.0707,0.000166736
"D268",11.2638,0.214851,6.12543,0.480048
"D269",60.5891,0.00206763,61.5043,0.00162028
"D270",68.1999,0.00239609,60.9607,0.0036622
"D271",45.7379,0.0362042,44.2399,0.0409901
"D272",10.9302,0.337223,8.04877,0.472039
"D273",23.8768,0.188518,24.7896,0.187077
"D274",40.2033,0.029586,36.9713,0.0359728
"D275",31.217,0.0267925,26.4252,0.0482649
"D276",174.305,0.000131711,160.852,0.000129062
"D277",104.409,3.88E-06,95.2365,6.04E-06
"D278",15.8938,0.102798,15.3296,0.116212
"D279",63.4571,0.000567849,57.998,0.00136941
"D280",110.45,0.00011951,104.934,0.000145473
"D281",114.37,0.000545033,108.233,0.000587785
"INH",21.9051,0.358567,15.8607,0.484705
"MET",1.65294,0.865336,-2.01601,0.835461
"STREP",-37.0584,0.00160328,-45.9783,0.000117024
"D347",59.7122,1.78E-05,55.5269,2.25E-05
"D348",34.4746,0.0120004,18.0304,0.104535
"D349",67.3867,0.000119596,63.5118,0.000240037
"D350",62.358,2.19E-05,54.9682,3.46E-05
"D351",84.3743,0.000100497,79.2539,0.000185939
"D352",67.8864,9.54E-05,65.8042,0.000127329
"D353",69.9998,3.64E-08,64.9831,4.02E-07
"D354",89.5293,6.03E-11,79.616,9.14E-11
"D355",64.409,7.49E-09,50.6348,8.55E-08
"D356",11.7852,0.320163,17.4786,0.177526
"D357",108,1.78E-10,104.962,1.17E-10
"D358",80.6837,5.27E-06,76.0251,1.27E-05
"D359",-15.2801,0.0683659,-11.3835,0.162566
"INH",74.3336,9.56E-09,65.3336,4.91E-08
"MET",-15.3473,0.0194532,-17.0819,0.00595584
"STREP",-4.9292,0.503389,-18.2192,0.0112257
"D361",8.49809,0.379619,9.23362,0.353037
"D362",4.42487,0.71856,3.76089,0.755335
"D363",10.0346,0.357085,10.0924,0.334369
"D364",0.360632,0.972434,-0.0622516,0.995134
"D365",-37.6328,0.00156369,-36.6736,0.00182085
"D366",9.40626,0.399827,11.7521,0.285812
"D367",23.3028,0.0295616,25.5423,0.0189715
"D368",44.8309,0.00112026,45.3625,0.0013282
"D369",19.9833,0.0610427,22.4851,0.0358665
"D370",20.2306,0.0540796,21.0199,0.0475473
"D371",18.1041,0.0798482,21.7321,0.0403522
"D372",-46.9264,0.000271237,-43.9826,0.00046797
"INH",54.8304,0.00599773,50.7063,0.00874012
"MET",-23.7619,0.0321472,-24.928,0.0254954
"STREP",-19.7385,0.161021,-29.0653,0.034157
"D373",15.9003,0.365883,17.65,0.324885
"D374",24.9383,0.115674,24.8396,0.123477
"D375",31.2301,0.0406417,31.8619,0.0384314
"D376",34.6043,0.0470696,35.2468,0.0453197
"D377",-26.324,0.0310997,-25.1342,0.0378601
"D378",42.5071,0.00490228,44.0171,0.00569675
"D379",37.5399,0.0228952,38.1406,0.0222489
"D380",56.5503,0.00170408,58.4746,0.00101475
"D381",59.4179,0.000176669,61.1456,0.000104383
"D382",33.7818,0.187759,36.9943,0.154082
"D383",47.6365,0.00741257,53.3566,0.00438367
"D384",59.2292,0.00238679,65.0316,0.00138217
"INH",12.7676,0.43539,10.3921,0.509055
"MET",-43.776,0.00166114,-44.4123,0.00149303
"STREP",-33.639,0.0213302,-42.3772,0.00393433
"D385",-9.53145,0.278009,-8.78439,0.267088
"D386",-2.98179,0.798191,-1.93494,0.869397
"D387",-29.0628,0.00326364,-27.9569,0.0046613
"D388",-31.9137,0.0001295,-29.5667,0.000546424
"D389",-51.8377,2.52E-07,-50.0713,1.25E-06
"D390",-40.3066,5.83E-05,-39.1033,0.000151803
"D391",-23.4368,0.120578,-23.7863,0.111786
"D392",-33.4387,0.00209427,-30.8982,0.00632627
"D393",-23.7764,0.0775423,-19.1777,0.151201
"D394",-24.8396,0.0361016,-21.442,0.0792096
"D395",-58.9657,6.20E-08,-58.7475,2.08E-07
"D396",-28.41,0.0156591,-18.0486,0.133228
"INH",-21.2361,0.0518912,-21.111,0.058146
"MET",3.5144,0.719136,2.78395,0.783468
"STREP",-32.1963,0.000804575,-40.3479,4.06E-05
"D397",18.9691,0.168299,24.3486,0.0799868
"D398",-12.5787,0.212657,-13.157,0.195001
"D399",-1.60779,0.879107,-1.45132,0.89205
"D400",-3.26791,0.788599,-4.301,0.725626
"D401",-2.23776,0.821724,0.875537,0.929382
"D402",-8.61383,0.391178,-6.00798,0.547467
"D403",12.6963,0.199768,10.8376,0.2757
"D404",1.58105,0.888166,4.60235,0.678852
"D405",4.17422,0.693604,7.3211,0.503481
"D406",-2.56966,0.802498,-1.26289,0.902898
"D407",-6.65692,0.491283,-4.85753,0.623921
"D408",-21.4256,0.0399055,-19.6434,0.0588944
"D409",-9.27778,0.37333,-8.52421,0.436922
"D410",-8.95297,0.360717,-2.76665,0.775296
"INH",45.4536,0.000605221,41.5463,0.00128698
"MET",-28.0385,0.0128947,-27.3776,0.0143454
"STREP",-32.0221,0.00543333,-39.5327,0.00138207
"D411",30.0132,0.0178187,28.3922,0.0221626
"D412",31.9154,0.00680041,26.7709,0.0161326
"D413",-6.35377,0.397822,-6.67918,0.386646
"D414",0.858091,0.922089,0.569761,0.952177
"D415",36.3241,0.00416175,32.3165,0.00506278
"D416",52.3352,0.00131611,50.2176,0.0018047
"D417",-4.06182,0.744383,0.535816,0.96847
"D418",-10.7877,0.405184,-9.96885,0.431654
"D419",3.89576,0.752914,5.57459,0.645564
"D420",-20.2935,0.0507523,-16.2596,0.131847
"D421",-12.9317,0.409119,-8.21552,0.610029
"D422",-25.8401,0.00305777,-23.4602,0.00628401
"D423",-51.6332,6.43E-07,-50.2548,8.76E-07
"D424",-29.0533,0.117443,-24.6907,0.204591
"INH",101.466,0.000999307,94.1396,0.00150272
"MET",28.8054,0.0170496,30.8245,0.0193164
"STREP",-18.6591,0.00784982,-27.5483,0.000304392
"D425",-32.6365,0.00080808,-41.3138,0.000137093
"D426",-7.62593,0.466441,-7.42978,0.498727
"D427",-30.408,0.00270088,-28.7713,0.00540154
"D428",-41.8649,9.86E-05,-39.1512,0.000219125
"D429",130.725,9.54E-08,127.669,5.62E-08
"D430",-30.3471,0.00759896,-28.8707,0.011115
"D431",-13.8133,0.0975337,-12.9546,0.118012
"D432",1.80813,0.87753,4.62186,0.689232
"D433",-29.4171,0.00520927,-24.0721,0.0294925
"D434",-25.3709,0.0151525,-23.1467,0.0253986
"D435",30.5385,0.0124488,34.5166,0.00919289
"D436",-15.4933,0.088014,-21.5324,0.0212779
"INH",85.0656,9.58E-06,78.1226,2.27E-05
"MET",-9.66803,0.272485,-8.86331,0.298874
"STREP",-26.7804,0.0046922,-36.0295,0.000467946
"D14",29.5074,0.00808809,26.9715,0.00974883
"D15",39.4465,0.0021518,35.1566,0.0031831
"D16",36.2705,0.00156494,34.3274,0.00176644
"D17",49.8337,9.83E-05,46.7857,0.000113104
"D18",52.3289,6.27E-05,52.8916,3.43E-05
"D19",52.0951,6.19E-05,51.5176,4.17E-05
"D20",57.6478,2.30E-05,60.5011,7.48E-06
"D21",46.2703,0.000206262,49.4652,6.98E-05
"D22",56.6879,2.79E-05,62.5344,6.70E-06
"D23",23.0831,0.0225169,29.6116,0.00399056
"D24",-6.39102,0.491973,-7.80247,0.390568
"D25",64.9857,6.23E-06,69.5667,1.40E-06
"D26",86.6434,1.66E-07,97.8153,1.81E-08
"D27",134.929,8.96E-08,149.994,2.29E-08
"MET",-44.0996,0.000473707,-46.3606,0.000190013
"RIF",-27.9279,0.0136338,-34.5881,0.00211084
"STREP",-7.528,0.490143,-15.6688,0.132506
"D64",41.4303,5.61E-05,47.7906,2.11E-05
"D65",15.4711,0.0271034,24.4829,0.00214243
"D66",20.1316,0.0105929,28.3464,0.00134059
"D67",20.752,0.00723488,27.6344,0.00170284
"D68",24.947,0.000606811,35.4427,7.00E-05
"D69",43.4954,3.13E-05,53.8262,1.40E-05
"D70",26.8065,0.00322965,35.5136,0.00064736
"D71",8.40718,0.289981,16.606,0.064156
"D72",29.0654,0.00298715,37.698,0.000535663
"D73",6.83623,0.460466,8.77942,0.372228
"MET",-35.8907,1.25E-05,-34.8555,5.09E-05
"RIF",-34.7603,1.87E-05,-37.762,2.10E-05
"STREP",-6.21472,0.271733,-10.9543,0.0825923
"D101",40.9877,0.00697164,42.2815,0.00439449
"D102",40.8717,0.00400421,36.5831,0.0066813
"D103",28.1402,0.0277079,28.6237,0.0263127
"D104",46.842,0.000404727,44.3662,0.000521056
"D105",35.316,0.00490034,36.327,0.00365363
"D106",60.775,0.000321483,61.9054,0.000192026
"D107",48.9903,0.000407176,51.1563,0.000204086
"D108",66.2207,0.000231041,65.748,0.000190604
"D109",33.2107,0.00883254,33.7875,0.00752959
"D110",69.5008,6.62E-06,73.1422,3.40E-06
"MET",75.5424,2.56E-06,63.6209,1.45E-05
"RIF",-15.7872,0.131787,-27.8047,0.0113386
"STREP",11.3931,0.297721,-3.11485,0.760443
"D111",26.7842,0.145663,26.8931,0.136855
"D112",22.1443,0.038605,21.4669,0.0500756
"D113",34.6098,0.0209146,31.4498,0.0348751
"D114",48.9843,3.30E-06,46.4352,1.18E-05
"D115",13.4325,0.314339,12.7205,0.35669
"D116",40.6119,0.000275689,40.9667,0.000159095
"D117",21.1002,0.0196753,17.2178,0.0601505
"D118",51.5231,0.00569365,47.2914,0.00851075
"D119",15.4993,0.0399161,12.5741,0.114472
"D120",-1.84211,0.769387,-3.69565,0.575653
"D121",37.9897,0.0062362,41.622,0.00407613
"D122",10.6396,0.17993,12.0634,0.167644
"MET",56.8402,2.86E-05,46.4235,0.000173114
"RIF",-33.1336,3.99E-05,-39.0603,2.48E-05
"STREP",20.2778,0.293177,10.8199,0.542263
